"","PlayerID","PlayerYear","Position","Team","Status","Name"
"1",1537,2017,"RB","ARI",NA,"Johnson, David"
"2",1096,2017,"RB","PIT",NA,"Bell, Le'Veon"
"3",1762,2017,"RB","DAL",NA,"Elliott, Ezekiel"
"4",1312,2017,"WR","TBB",NA,"Evans, Mike"
"5",748,2017,"WR","PIT",NA,"Brown, Antonio"
"6",1320,2017,"WR","NYG",NA,"Beckham, Odell"
"7",798,2017,"WR","ATL",NA,"Jones, Julio"
"8",788,2017,"WR","CIN",NA,"Green, A.J."
"9",1307,2017,"RB","ATL",NA,"Freeman, Devonta"
"10",684,2017,"WR","DAL",NA,"Bryant, Dez"
"11",563,2017,"WR","GBP",NA,"Nelson, Jordy"
"12",721,2017,"TE","NEP",NA,"Gronkowski, Rob"
"13",1521,2017,"RB","LAC",NA,"Gordon, Melvin"
"14",1319,2017,"WR","JAC",NA,"Robinson, Allen"
"15",930,2017,"WR","IND",NA,"Hilton, T.Y."
"16",1789,2017,"WR","NOS",NA,"Thomas, Michael"
"17",1539,2017,"WR","OAK",NA,"Cooper, Amari"
"18",1771,2017,"RB","CHI",NA,"Howard, Jordan"
"19",1524,2017,"RB","PHI",NA,"Ajayi, Jay"
"20",617,2017,"RB","BUF",NA,"McCoy, LeSean"
"21",1520,2017,"RB","LAR",NA,"Gurley, Todd"
"22",817,2017,"RB","TEN",NA,"Murray, DeMarco"
"23",1117,2017,"WR","HOU",NA,"Hopkins, DeAndre"
"24",1315,2017,"WR","NEP",NA,"Cooks, Brandin"
"25",1311,2017,"WR","LAR",NA,"Watkins, Sammy"
"26",927,2017,"WR","PHI",NA,"Jeffery, Alshon"
"27",2078,2017,"RB","MIN","R","Cook, Dalvin"
"28",1110,2017,"WR","LAC",NA,"Allen, Keenan"
"29",1321,2017,"WR","MIA",NA,"Landry, Jarvis"
"30",919,2017,"RB","HOU",NA,"Miller, Lamar"
"31",658,2017,"TE","FA",NA,"Johnson, David"
"32",1120,2017,"TE","KCC",NA,"Kelce, Travis"
"33",1316,2017,"WR","GBP",NA,"Adams, Davante"
"34",883,2017,"WR","SEA",NA,"Baldwin, Doug"
"35",716,2017,"WR","DEN",NA,"Thomas, Demaryius"
"36",2079,2017,"RB","JAC","R","Fournette, Leonard"
"37",1304,2017,"RB","SFO",NA,"Hyde, Carlos"
"38",803,2017,"RB","NOS",NA,"Ingram, Mark"
"39",448,2017,"QB","GBP",NA,"Rodgers, Aaron"
"40",909,2017,"QB","IND",NA,"Luck, Andrew"
"41",1318,2017,"WR","IND",NA,"Moncrief, Donte"
"42",1099,2017,"RB","KCC",NA,"Ware, Spencer"
"43",604,2017,"WR","OAK",NA,"Crabtree, Michael"
"44",1550,2017,"WR","MIN",NA,"Diggs, Stefon"
"45",1122,2017,"TE","WAS",NA,"Reed, Jordan"
"46",690,2017,"WR","DET",NA,"Tate, Golden"
"47",1763,2017,"RB","TEN",NA,"Henry, Derrick"
"48",657,2017,"WR","NEP",NA,"Edelman, Julian"
"49",1016,2017,"WR","TEN",NA,"Matthews, Rishard"
"50",1522,2017,"RB","ATL",NA,"Coleman, Tevin"
"51",1764,2017,"RB","SEA",NA,"Prosise, C.J."
"52",728,2017,"WR","DEN",NA,"Sanders, Emmanuel"
"53",1240,2017,"RB","DEN",NA,"Anderson, C.J."
"54",406,2017,"QB","NEP",NA,"Brady, Tom"
"55",1535,2017,"RB","SEA",NA,"Rawls, Thomas"
"56",731,2017,"TE","SEA",NA,"Graham, Jimmy"
"57",1314,2017,"WR","BUF",NA,"Benjamin, Kelvin"
"58",1919,2017,"WR","KCC",NA,"Hill, Tyreek"
"59",1100,2017,"RB","SEA",NA,"Lacy, Eddie"
"60",427,2017,"WR","ARI",NA,"Fitzgerald, Larry"
"61",879,2017,"WR","WAS",NA,"Pryor, Terrelle"
"62",507,2017,"RB","ARI",NA,"Peterson, Adrian"
"63",1217,2017,"RB","MIN",NA,"Murray, Latavius"
"64",2103,2017,"WR","TEN","R","Davis, Corey"
"65",1540,2017,"WR","MIA",NA,"Parker, DeVante"
"66",519,2017,"TE","CAR",NA,"Olsen, Greg"
"67",1310,2017,"RB","CLE",NA,"Crowell, Isaiah"
"68",819,2017,"WR","GBP",NA,"Cobb, Randall"
"69",1795,2017,"WR","NYG",NA,"Shepard, Sterling"
"70",1769,2017,"RB","BAL",NA,"Dixon, Kenneth"
"71",1768,2017,"RB","NYG",NA,"Perkins, Paul"
"72",1317,2017,"WR","BUF",NA,"Matthews, Jordan"
"73",453,2017,"RB","IND",NA,"Gore, Frank"
"74",491,2017,"WR","NYG",NA,"Marshall, Brandon"
"75",1548,2017,"WR","WAS",NA,"Crowder, Jamison"
"76",610,2017,"WR","BAL",NA,"Maclin, Jeremy"
