"","PlayerID","PlayerYear","Position","Team","Status","Name"
"1",892,2016,"WR","PIT",NA,"Brown, Antonio"
"2",1611,2016,"WR","NYG",NA,"Beckham, Odell"
"3",957,2016,"WR","ATL",NA,"Jones, Julio"
"4",1339,2016,"RB","PIT",NA,"Bell, Le'Veon"
"5",1878,2016,"RB","RAM",NA,"Gurley, Todd"
"6",947,2016,"WR","CIN",NA,"Green, A.J."
"7",1362,2016,"WR","HOU",NA,"Hopkins, DeAndre"
"8",852,2016,"TE","NEP",NA,"Gronkowski, Rob"
"9",2214,2016,"RB","DAL","R","Elliott, Ezekiel"
"10",808,2016,"WR","DAL",NA,"Bryant, Dez"
"11",1899,2016,"RB","ARI",NA,"Johnson, David"
"12",559,2016,"RB","MIN",NA,"Peterson, Adrian"
"13",1610,2016,"WR","JAC",NA,"Robinson, Allen"
"14",1114,2016,"RB","HOU",NA,"Miller, Lamar"
"15",1603,2016,"WR","TBB",NA,"Evans, Mike"
"16",642,2016,"WR","GBP",NA,"Nelson, Jordy"
"17",618,2016,"RB","KCC",NA,"Charles, Jamaal"
"18",1353,2016,"WR","SDC",NA,"Allen, Keenan"
"19",1595,2016,"RB","ATL",NA,"Freeman, Devonta"
"20",1126,2016,"WR","CHI",NA,"Jeffery, Alshon"
"21",1901,2016,"WR","OAK",NA,"Cooper, Amari"
"22",1606,2016,"WR","NOS",NA,"Cooks, Brandin"
"23",847,2016,"WR","DEN",NA,"Thomas, Demaryius"
"24",1344,2016,"RB","GBP",NA,"Lacy, Eddie"
"25",1129,2016,"WR","IND",NA,"Hilton, T.Y."
"26",962,2016,"RB","NOS",NA,"Ingram, Mark"
"27",534,2016,"WR","NYJ",NA,"Marshall, Brandon"
"28",1602,2016,"WR","BUF",NA,"Watkins, Sammy"
"29",1612,2016,"WR","MIA",NA,"Landry, Jarvis"
"30",775,2016,"WR","NEP",NA,"Edelman, Julian"
"31",1512,2016,"RB","DEN",NA,"Anderson, C.J."
"32",1115,2016,"RB","TBB",NA,"Martin, Doug"
"33",984,2016,"WR","GBP",NA,"Cobb, Randall"
"34",815,2016,"WR","DET",NA,"Tate, Golden"
"35",1605,2016,"WR","CAR",NA,"Benjamin, Kelvin"
"36",1369,2016,"TE","WAS",NA,"Reed, Jordan"
"37",959,2016,"QB","CAR",NA,"Newton, Cam"
