"","PlayerScoreID","Week","Score","PlayerID"
"1",1,1,45.6,2088
"2",2,1,34.7,443
"3",3,1,26.8,1919
"4",4,1,22.5,1089
"5",5,1,16,592
"6",6,1,13.3,406
"7",7,1,11.8,1315
"8",8,1,9.8,1364
"9",9,1,9.5,1507
"10",10,1,9.5,1239
"11",11,1,9.4,1120
"12",12,1,8.7,1444
"13",13,1,6.3,1601
"14",14,1,5.3,721
"15",15,1,4,204
"16",16,1,3.5,1038
"17",17,1,3.3,1090
"18",18,1,2,196
"19",19,1,1.2,1306
"20",20,1,0.9,855
"21",21,1,0,1983
"22",22,1,0,2119
"23",23,1,0,1066
"24",24,1,0,1904
"25",25,1,0,1552
"26",26,1,0,851
"27",27,1,0,935
"28",28,1,0,1024
"29",29,1,30,607
"30",30,1,29.2,748
"31",31,1,28,220
"32",32,1,28,201
"33",33,1,25.3,5175
"34",34,1,25,223
"35",35,1,22.9,5162
"36",36,1,22.1,1565
"37",37,1,22,210
"38",38,1,21.9,1749
"39",39,1,21.4,1515
"40",40,1,21.4,690
"41",41,1,21.4,2079
"42",42,1,21.3,1295
"43",43,1,21.1,558
"44",44,1,21,867
"45",45,1,20.9,617
"46",46,1,20.9,563
"47",47,1,20.8,1811
"48",48,1,20.8,2064
"49",49,1,20.6,1545
"50",50,1,20.6,1520
"51",51,1,19.6,448
"52",52,1,19.5,1750
"53",53,1,19.3,1603
"54",54,1,19,214
"55",55,1,19,202
"56",56,1,18.5,1117
"57",57,1,18.3,430
"58",58,1,17.6,2114
"59",59,1,17.5,819
"60",60,1,17.3,1121
"61",61,1,17.2,1539
"62",62,1,16.3,1783
"63",63,1,16.2,559
"64",64,1,15.6,1771
"65",65,1,15.6,1092
"66",66,1,15.3,864
"67",67,1,15.3,1650
"68",68,1,15,219
"69",69,1,14.8,800
"70",70,1,14.6,1093
"71",71,1,14.6,1080
"72",72,1,14.6,496
"73",73,1,14.3,604
"74",74,1,14.1,585
"75",75,1,14,1363
"76",76,1,13.7,1304
"77",77,1,13.6,610
"78",78,1,13.4,427
"79",79,1,13.3,1118
"80",80,1,13,1537
"81",81,1,13,212
"82",82,1,13,914
"83",83,1,12.9,1060
"84",84,1,12.9,2103
"85",85,1,12.6,879
"86",86,1,12.4,788
"87",87,1,12.4,594
"88",88,1,12.1,1016
"89",89,1,11.9,1307
"90",90,1,11.7,719
"91",91,1,11.7,934
"92",92,1,11.6,919
"93",93,1,11.6,413
"94",94,1,11.5,4052
"95",95,1,11.5,1293
"96",96,1,11.5,2080
"97",97,1,11.3,409
"98",98,1,10.8,1311
"99",99,1,10.7,928
"100",100,1,10.6,627
"101",101,1,10.6,798
"102",102,1,10.6,1310
"103",103,1,10.2,512
"104",104,1,10.1,1409
"105",105,1,10,211
"106",106,1,10,883
"107",107,1,10,207
"108",108,1,9.9,1322
"109",109,1,9.9,917
"110",110,1,9.8,1522
"111",111,1,9.5,455
"112",112,1,9,215
"113",113,1,9,193
"114",114,1,8.9,1097
"115",115,1,8.9,848
"116",116,1,8.9,1711
"117",117,1,8.8,927
"118",118,1,8.6,1332
"119",119,1,8.6,1122
"120",120,1,8.3,1114
"121",121,1,8.2,1386
"122",122,1,8.2,1091
"123",123,1,8.2,1910
"124",124,1,8.1,1317
"125",125,1,8,218
"126",126,1,8,548
"127",127,1,8,817
"128",128,1,7.9,649
"129",129,1,7.7,1316
"130",130,1,7.7,1096
"131",131,1,7.7,5184
"132",132,1,7.6,1688
"133",133,1,7.3,544
"134",134,1,7.2,1451
"135",135,1,7.1,5405
"136",136,1,7.1,903
"137",137,1,7.1,1525
"138",138,1,7.1,1529
"139",139,1,7,199
"140",140,1,7,198
"141",141,1,6.7,930
"142",142,1,6.7,664
"143",143,1,6.7,2063
"144",144,1,6.6,565
"145",145,1,6.6,1474
"146",146,1,6.6,1776
"147",147,1,6.4,1733
"148",148,1,6.4,925
"149",149,1,6.3,761
"150",150,1,6.2,453
"151",151,1,6.2,2000
"152",152,1,6.1,1262
"153",153,1,6,1318
"154",154,1,5.9,5249
"155",155,1,5.7,1068
"156",156,1,5.5,1085
"157",157,1,5.4,698
"158",158,1,5.4,2081
"159",159,1,5.2,1325
"160",160,1,5.2,1896
"161",161,1,5.1,1123
"162",162,1,5.1,668
"163",163,1,5.1,1119
"164",164,1,5,222
"165",165,1,5,197
"166",166,1,5,205
"167",167,1,4.9,4054
"168",168,1,4.5,694
"169",169,1,4.4,1548
"170",170,1,4.2,1963
"171",171,1,4,809
"172",172,1,4,714
"173",173,1,4,2142
"174",174,1,4,1559
"175",175,1,4,1527
"176",176,1,3.8,824
"177",177,1,3.8,731
"178",178,1,3.8,1990
"179",179,1,3.8,519
"180",180,1,3.7,1202
"181",181,1,3.7,1812
"182",182,1,3.6,2090
"183",183,1,3.5,1314
"184",184,1,3.4,2117
"185",185,1,3.4,1964
"186",186,1,3.4,1327
"187",187,1,3.4,1302
"188",188,1,3.2,1561
"189",189,1,3.1,1853
"190",190,1,3.1,2126
"191",191,1,3,2123
"192",192,1,3,213
"193",193,1,3,200
"194",194,1,3,1979
"195",195,1,2.9,1329
"196",196,1,2.8,1104
"197",197,1,2.8,1658
"198",198,1,2.7,1319
"199",199,1,2.6,878
"200",200,1,2.6,1541
"201",201,1,2.5,1755
"202",202,1,2.5,1763
"203",203,1,2.5,1029
"204",204,1,2.4,1656
"205",205,1,2.3,626
"206",206,1,2.2,1956
"207",207,1,2.2,706
"208",208,1,2.2,1025
"209",209,1,2.1,530
"210",210,1,2.1,932
"211",211,1,2.1,1787
"212",212,1,2,1813
"213",213,1,1.9,1773
"214",214,1,1.8,638
"215",215,1,1.8,1551
"216",216,1,1.8,5201
"217",217,1,1.7,866
"218",218,1,1.7,1112
"219",219,1,1.5,1560
"220",220,1,1.5,1566
"221",221,1,1.5,1556
"222",222,1,1.5,1065
"223",223,1,1.4,1124
"224",224,1,1.3,900
"225",225,1,1.3,922
"226",226,1,1.1,5407
"227",227,1,1.1,2096
"228",228,1,1.1,1764
"229",229,1,1.1,5266
"230",230,1,1,224
"231",231,1,0.9,2089
"232",232,1,0.7,1654
"233",233,1,0.4,2084
"234",234,1,0.3,1100
"235",235,1,0.2,1432
"236",236,1,0.1,1182
"237",237,1,0.1,2100
"238",238,1,0,5066
"239",239,1,0,5390
"240",240,1,0,1180
"241",241,1,0,1785
"242",242,1,0,469
"243",243,1,0,1221
"244",244,1,0,1275
"245",245,1,0,534
"246",246,1,0,1555
"247",247,1,0,1365
"248",248,1,0,1808
"249",249,1,0,816
"250",250,1,0,1297
"251",251,1,0,1334
"252",252,1,0,1313
"253",253,1,0,1991
"254",254,1,0,1690
"255",255,1,0,5200
"256",256,1,0,2118
"257",257,1,0,400
"258",258,1,0,1549
"259",259,1,0,619
"260",260,1,0,2094
"261",261,1,0,1918
"262",262,1,0,2014
"263",263,1,0,1452
"264",264,1,0,1046
"265",265,1,0,5319
"266",266,1,0,1328
"267",267,1,0,1631
"268",268,1,0,1235
"269",269,1,0,5256
"270",270,1,0,5139
"271",271,1,0,1542
"272",272,1,0,5174
"273",273,1,0,1183
"274",274,1,0,2116
"275",275,1,0,1796
"276",276,1,0,1333
"277",277,1,0,1740
"278",278,1,0,1664
"279",279,1,0,2083
"280",280,1,0,1127
"281",281,1,0,1694
"282",282,1,0,860
"283",283,1,0,847
"284",284,1,0,1256
"285",285,1,0,1940
"286",286,1,0,5383
"287",287,1,0,637
"288",288,1,0,2065
"289",289,1,0,1335
"290",290,1,0,1705
"291",291,1,0,1892
"292",292,1,0,432
"293",293,1,0,1701
"294",294,1,0,2133
"295",295,1,0,5071
"296",296,1,0,1285
"297",297,1,0,1744
"298",298,1,0,1563
"299",299,1,0,1283
"300",300,1,0,1993
"301",301,1,0,1788
"302",302,1,0,599
"303",303,1,0,194
"304",304,1,0,5406
"305",305,1,0,2106
"306",306,1,0,730
"307",307,1,0,5372
"308",308,1,0,749
"309",309,1,0,2107
"310",310,1,0,2086
"311",311,1,0,5354
"312",312,1,0,859
"313",313,1,0,1937
"314",314,1,0,2008
"315",315,1,0,2147
"316",316,1,0,1241
"317",317,1,0,1706
"318",318,1,0,1126
"319",319,1,0,724
"320",320,1,0,1429
"321",321,1,0,2143
"322",322,1,0,1564
"323",323,1,0,1709
"324",324,1,0,435
"325",325,1,0,1211
"326",326,1,0,2052
"327",327,1,0,478
"328",328,1,0,1942
"329",329,1,-0.1,1518
"330",330,1,-0.9,1298
"331",331,1,-1.3,821
"332",332,1,19.8,1758
"333",333,1,19,1762
"334",334,1,18.9,418
"335",335,1,14.1,818
"336",336,1,12.8,1102
"337",337,1,12,1795
"338",338,1,12,208
"339",339,1,9.4,1786
"340",340,1,8.9,426
"341",341,1,8.4,2139
"342",342,1,6.3,684
"343",343,1,6.2,1032
"344",344,1,5,209
"345",345,1,4.5,1768
"346",346,1,4,1225
"347",347,1,2.3,1475
"348",348,1,2,491
"349",349,1,1.9,993
"350",350,1,0.1,1008
"351",351,1,0,1704
"352",352,1,0,1436
"353",353,1,0,1496
"354",354,1,0,1669
"355",355,1,0,1684
"356",356,1,0,1388
"357",357,1,0,5242
"358",358,1,0,865
"359",359,1,0,1814
"360",360,1,0,3005
"361",361,1,0,1781
"362",362,1,0,2115
"363",363,1,29,679
"364",364,1,27.7,1550
"365",365,1,24.8,1686
"366",366,1,24.7,1458
"367",367,1,19.6,428
"368",368,1,18.9,1521
"369",369,1,18.5,401
"370",370,1,17.1,1454
"371",371,1,16.7,2078
"372",372,1,16.4,936
"373",373,1,14.5,1110
"374",374,1,13.3,933
"375",375,1,12.1,803
"376",376,1,11.7,716
"377",377,1,11.6,820
"378",378,1,10.4,1691
"379",379,1,9.8,513
"380",380,1,9.8,1240
"381",381,1,9.5,1789
"382",382,1,9,206
"383",383,1,7.8,2082
"384",384,1,7.2,1995
"385",385,1,6.7,1370
"386",386,1,6.4,1667
"387",387,1,5.6,728
"388",388,1,5.4,871
"389",389,1,5,216
"390",390,1,4,203
"391",391,1,3.8,5364
"392",392,1,3.7,423
"393",393,1,3.3,1366
"394",394,1,3.1,931
"395",395,1,3,1562
"396",396,1,2,546
"397",397,1,2,221
"398",398,1,1.8,507
"399",399,1,1.7,1782
"400",400,1,1,1459
"401",401,1,0.6,1217
"402",402,1,0.2,504
"403",403,1,0,5219
"404",404,1,0,1941
"405",405,1,0,1934
"406",406,1,0,5081
"407",407,1,0,1810
"408",408,1,0,1567
"409",409,1,0,5198
"410",410,1,0,1660
"411",411,1,0,2127
"412",412,1,0,1266
"413",413,1,0,5417
"414",414,1,0,1924
"415",415,1,0,1368
"416",416,2,18.9,2063
"417",417,2,14.3,1117
"418",418,2,11.7,919
"419",419,2,11.7,821
"420",420,2,11.7,788
"421",421,2,10.4,1991
"422",422,2,9,224
"423",423,2,7.2,1124
"424",424,2,7,698
"425",425,2,7,198
"426",426,2,5.1,2081
"427",427,2,4.6,1097
"428",428,2,4.6,1776
"429",429,2,4,2084
"430",430,2,3,1788
"431",431,2,2.9,1302
"432",432,2,0,5256
"433",433,2,0,534
"434",434,2,0,1452
"435",435,2,0,816
"436",436,2,0,1429
"437",437,2,0,1942
"438",438,2,0,1566
"439",439,2,0,1543
"440",440,2,-0.8,2105
"441",441,2,35.2,406
"442",442,2,32,604
"443",443,2,30.4,1240
"444",444,2,28.1,1749
"445",445,2,26.6,1520
"446",446,2,25.9,2088
"447",447,2,25.8,401
"448",448,2,25.6,1092
"449",449,2,24.9,1686
"450",450,2,24.3,1120
"451",451,2,24.2,728
"452",452,2,23.6,721
"453",453,2,23.5,1295
"454",454,2,23,1650
"455",455,2,22.4,1060
"456",456,2,22.3,1312
"457",457,2,22.2,927
"458",458,2,25.7,418
"459",459,2,21.1,1529
"460",460,2,20.8,1521
"461",461,2,20.5,428
"462",462,2,20.2,1451
"463",463,2,20.1,1321
"464",464,2,19.9,430
"465",465,2,18.3,1758
"466",466,2,19.2,413
"467",467,2,19,1110
"468",468,2,19,217
"469",469,2,18.9,1990
"470",470,2,18.9,684
"471",471,2,18.8,1327
"472",472,2,18.8,1038
"473",473,2,18.6,443
"474",474,2,18.2,1366
"475",475,2,17.6,1364
"476",476,2,17.4,409
"477",477,2,17.3,1304
"478",478,2,17.3,917
"479",479,2,17.1,432
"480",480,2,17,223
"481",481,2,16.9,1793
"482",482,2,16.7,548
"483",483,2,16.2,496
"484",484,2,15.9,1262
"485",485,2,15.7,1029
"486",486,2,15.4,471
"487",487,2,15.2,1763
"488",488,2,15.1,1515
"489",489,2,15,1810
"490",490,2,14.8,5175
"491",491,2,14.7,1121
"492",492,2,14.6,1313
"493",493,2,14.6,1524
"494",494,2,14.5,1514
"495",495,2,14.1,800
"496",496,2,14.1,2079
"497",497,2,14,204
"498",498,2,13.9,1789
"499",499,2,13.9,925
"500",500,2,13.7,1314
"501",501,2,13.6,914
"502",502,2,13.4,1090
"503",503,2,13,1750
"504",504,2,13.3,1112
"505",505,2,13.1,716
"506",506,2,13.1,1096
"507",507,2,13.1,610
"508",508,2,12.1,565
"509",509,2,13,1080
"510",510,2,12.9,1089
"511",511,2,12.7,815
"512",512,2,12.5,4054
"513",513,2,12.5,1540
"514",514,2,12.5,1363
"515",515,2,12.4,1551
"516",516,2,12.3,936
"517",517,2,12,200
"518",518,2,12,1293
"519",519,2,12,205
"520",520,2,11.9,512
"521",521,2,11.7,1113
"522",522,2,11.7,867
"523",523,2,11.7,2142
"524",524,2,11.6,803
"525",525,2,11.3,1241
"526",526,2,11.2,748
"527",527,2,11,1755
"528",528,2,11,5249
"529",529,2,11,2143
"530",530,2,11,1527
"531",531,2,10.8,1122
"532",532,2,10.8,1559
"533",533,2,10.6,809
"534",534,2,10.6,453
"535",535,2,10.6,2106
"536",536,2,10.5,1552
"537",537,2,10.4,883
"538",538,2,10.3,617
"539",539,2,10.2,649
"540",540,2,10,211
"541",541,2,10,212
"542",542,2,10,194
"543",543,2,10,219
"544",544,2,10,193
"545",545,2,9.9,1322
"546",546,2,9.8,455
"547",547,2,9.5,1601
"548",548,2,9.4,1691
"549",549,2,9.1,1068
"550",550,2,9.1,871
"551",551,2,9.1,423
"552",552,2,8.9,930
"553",553,2,8.9,1919
"554",554,2,8.7,1548
"555",555,2,8.5,820
"556",556,2,8.4,1757
"557",557,2,8.4,2080
"558",558,2,8.4,2078
"559",559,2,8.4,2082
"560",560,2,8.3,1853
"561",561,2,8.3,1027
"562",562,2,8.1,1910
"563",563,2,8.1,1409
"564",564,2,16,203
"565",565,2,8,202
"566",566,2,8,207
"567",567,2,7.9,1545
"568",568,2,7.8,761
"569",569,2,7.8,1979
"570",570,2,7.7,2083
"571",571,2,7.4,1458
"572",572,2,7.3,1016
"573",573,2,7.3,1032
"574",574,2,7.3,1539
"575",575,2,7,199
"576",576,2,7,222
"577",577,2,6.9,551
"578",578,2,6.8,2117
"579",579,2,6.7,1565
"580",580,2,6.5,627
"581",581,2,6.5,1963
"582",582,2,6.3,2114
"583",583,2,6.3,1560
"584",584,2,6.3,1315
"585",585,2,6.3,1631
"586",586,2,6.3,1782
"587",587,2,6.2,714
"588",588,2,6.2,1762
"589",589,2,6.2,5174
"590",590,2,6.2,546
"591",591,2,6.1,5081
"592",592,2,6.1,900
"593",593,2,6,206
"594",594,2,6,1317
"595",595,2,5.9,1266
"596",596,2,5.7,1102
"597",597,2,5.6,585
"598",598,2,5.6,1183
"599",599,2,5.6,1119
"600",600,2,5.6,849
"601",601,2,5.5,1370
"602",602,2,5.5,1211
"603",603,2,5.4,513
"604",604,2,5.3,864
"605",605,2,5.3,1085
"606",606,2,5.2,1764
"607",607,2,5.1,1550
"608",608,2,5.1,427
"609",609,2,5.1,879
"610",610,2,5,195
"611",611,2,5,213
"612",612,2,5,210
"613",613,2,5,1311
"614",614,2,5,196
"615",615,2,4.8,2000
"616",616,2,4.8,5266
"617",617,2,4.7,1774
"618",618,2,4.7,1896
"619",619,2,4.7,5259
"620",620,2,4.6,2094
"621",621,2,4.6,724
"622",622,2,4.6,1444
"623",623,2,4.4,857
"624",624,2,4.4,1510
"625",625,2,4.4,552
"626",626,2,4.2,1368
"627",627,2,4,559
"628",628,2,3.9,1275
"629",629,2,3.8,903
"630",630,2,3.8,2118
"631",631,2,3.8,2126
"632",632,2,3.8,1318
"633",633,2,3.8,817
"634",634,2,3.8,1728
"635",635,2,3.7,2064
"636",636,2,3.7,1310
"637",637,2,3.5,855
"638",638,2,3.3,5184
"639",639,2,3.3,5372
"640",640,2,3.1,1459
"641",641,2,3,220
"642",642,2,3,1664
"643",643,2,3,216
"644",644,2,3,1256
"645",645,2,3,208
"646",646,2,2.9,668
"647",647,2,2.9,922
"648",648,2,2.8,1225
"649",649,2,2.7,2107
"650",650,2,2.7,2138
"651",651,2,2.6,1995
"652",652,2,2.6,1334
"653",653,2,2.6,2116
"654",654,2,2.6,507
"655",655,2,2.6,5201
"656",656,2,2.5,5165
"657",657,2,2.5,1562
"658",658,2,2.3,469
"659",659,2,2.2,1765
"660",660,2,2.2,1091
"661",661,2,2.1,933
"662",662,2,2,1069
"663",663,2,2,1335
"664",664,2,2,519
"665",665,2,1.9,931
"666",666,2,1.9,1656
"667",667,2,1.9,1783
"668",668,2,1.9,860
"669",669,2,1.9,1025
"670",670,2,1.8,5390
"671",671,2,0.8,1104
"672",672,2,1.8,4052
"673",673,2,1.8,1454
"674",674,2,1.8,1114
"675",675,2,1.8,1676
"676",676,2,1.7,638
"677",677,2,1.7,594
"678",678,2,1.7,1564
"679",679,2,1.6,1066
"680",680,2,1.6,1046
"681",681,2,1.6,2037
"682",682,2,1.6,1118
"683",683,2,1.5,5325
"684",684,2,1.4,2103
"685",685,2,1.4,1733
"686",686,2,1.3,1808
"687",687,2,1.3,848
"688",688,2,1.3,1694
"689",689,2,1.2,626
"690",690,2,1.1,731
"691",691,2,1.1,1773
"692",692,2,1,719
"693",693,2,0.9,1303
"694",694,2,0.9,2096
"695",695,2,0.7,1771
"696",696,2,0.6,1217
"697",697,2,0.6,1688
"698",698,2,0.5,1432
"699",699,2,0.4,1535
"700",700,2,0.1,1690
"701",701,2,0,5066
"702",702,2,0,753
"703",703,2,0,5405
"704",704,2,0.8,1704
"705",705,2,0,1785
"706",706,2,0,1555
"707",707,2,0,1202
"708",708,2,0,530
"709",709,2,0,1507
"710",710,2,0,1365
"711",711,2,0,2123
"712",712,2,0,1602
"713",713,2,0,1658
"714",714,2,0,1239
"715",715,2,0,1536
"716",716,2,0,400
"717",717,2,0,1123
"718",718,2,0,619
"719",719,2,0,1792
"720",720,2,0,2014
"721",721,2,0,1561
"722",722,2,0,1654
"723",723,2,0,5364
"724",724,2,0,1467
"725",725,2,0,1941
"726",726,2,0,5139
"727",727,2,0,1542
"728",728,2,0,1796
"729",729,2,0,1333
"730",730,2,0,2113
"731",731,2,0,5065
"732",732,2,0,866
"733",733,2,0,1567
"734",734,2,0,706
"735",735,2,0,1740
"736",736,2,0,770
"737",737,2,0,851
"738",738,2,0,201
"739",739,2,0,1024
"740",740,2,0,2090
"741",741,2,0,847
"742",742,2,0,1983
"743",743,2,0,1940
"744",744,2,0,1934
"745",745,2,0,2133
"746",746,2,0,1812
"747",747,2,0,1813
"748",748,2,0,1711
"749",749,2,0,5198
"750",750,2,0,504
"751",751,2,0,1285
"752",752,2,0,1904
"753",753,2,0,1744
"754",754,2,0,1563
"755",755,2,0,1993
"756",756,2,0,1781
"757",757,2,0,599
"758",758,2,0,1306
"759",759,2,0,749
"760",760,2,0,1556
"761",761,2,0,2086
"762",762,2,0,843
"763",763,2,0,5354
"764",764,2,0,5408
"765",765,2,0,859
"766",766,2,0,5263
"767",767,2,0,2008
"768",768,2,0,932
"769",769,2,0,1065
"770",770,2,0,2115
"771",771,2,0,482
"772",772,2,0,1706
"773",773,2,0,1932
"774",774,2,0,1236
"775",775,2,0,5384
"776",776,2,0,3018
"777",777,2,0,1709
"778",778,2,0,935
"779",779,2,0,2052
"780",780,2,0,1443
"781",781,2,0,478
"782",782,2,0,1182
"783",783,2,0,1667
"784",784,2,-0.2,460
"785",785,2,-0.3,1767
"786",786,2,-1,221
"787",787,2,-3,197
"788",788,2,29,1603
"789",789,2,24,1307
"790",790,2,23.9,1316
"791",791,2,21.9,448
"792",792,2,17.4,558
"793",793,2,15.8,798
"794",794,2,14,218
"795",795,2,13.5,928
"796",796,2,13,819
"797",797,2,12.5,1522
"798",798,2,9.7,544
"799",799,2,5.4,1801
"800",800,2,4.2,1388
"801",801,2,4.1,1474
"802",802,2,4,215
"803",803,2,2.9,1549
"804",804,2,2.7,1811
"805",805,2,2.1,2089
"806",806,2,1.9,1918
"807",807,2,1.2,1669
"808",808,2,0,1436
"809",809,2,0,5219
"810",810,2,0,1496
"811",811,2,0,1684
"812",812,2,0,5406
"813",813,2,0,730
"814",814,2,0,2122
"815",815,2,0,563
"816",816,2,0,5204
"817",817,2,0,824
"818",818,2,0,5200
"819",819,2,0,1705
"820",820,2,0,1126
"821",821,2,0,1924
"822",822,2,0,3005
"823",823,2,17,214
"824",824,2,15.2,1329
"825",825,2,14.9,2139
"826",826,2,14.4,607
"827",827,2,13.9,426
"828",828,2,9.7,934
"829",829,2,9,209
"830",830,2,8.6,1525
"831",831,2,8.5,818
"832",832,2,7.6,1320
"833",833,2,6.7,1093
"834",834,2,6.5,690
"835",835,2,5,1795
"836",836,2,4.8,1814
