"","PlayerID","PlayerYear","Position","Team","Status","Name"
"104",193,2015,"Def","BUF",NA,"Bills, Buffalo"
"105",459,2015,"WR","ARI",NA,"Fitzgerald, Larry"
"106",439,2015,"WR","SFO",NA,"Boldin, Anquan"
"107",2194,2015,"WR","MIA","R","Parker, DeVante"
"108",1859,2015,"TE","DET",NA,"Ebron, Eric"
"109",533,2015,"RB","SFO",NA,"Bush, Reggie"
"110",1560,2015,"WR","MIA",NA,"Stills, Kenny"
"111",411,2015,"WR","BAL",NA,"Smith, Steve"
"112",454,2015,"QB","DAL",NA,"Romo, Tony"
"113",1035,2015,"RB","NYJ",NA,"Ivory, Chris"
"114",1939,2015,"WR","ARI",NA,"Brown, John"
"115",1843,2015,"WR","GBP",NA,"Adams, Davante"
"116",591,2015,"WR","NOS",NA,"Colston, Marques"
"117",932,2015,"RB","PHI",NA,"Mathews, Ryan"
"118",1283,2015,"RB","TBB",NA,"Martin, Doug"
"119",460,2015,"QB","SDC",NA,"Rivers, Philip"
"120",1296,2015,"WR","NYG",NA,"Randle, Rueben"
"121",1036,2015,"WR","NYG",NA,"Cruz, Victor"
"122",1829,2015,"RB","ATL",NA,"Freeman, Devonta"
"123",1292,2015,"WR","TEN",NA,"Wright, Kendall"
"124",1827,2015,"RB","NYG",NA,"Williams, Andre"
"125",1307,2015,"TE","IND",NA,"Allen, Dwayne"
"126",1575,2015,"TE","CIN",NA,"Eifert, Tyler"
"127",1919,2015,"RB","MIN",NA,"McKinnon, Jerick"
"128",2224,2015,"TE","BAL","R","Williams, Maxx"
"129",2198,2015,"WR","TEN","R","Green-Beckham, Dorial"
"130",1113,2015,"QB","SFO",NA,"Kaepernick, Colin"
"131",791,2015,"WR","BUF",NA,"Harvin, Percy"
"132",443,2015,"TE","DAL",NA,"Witten, Jason"
"133",584,2015,"TE","TEN",NA,"Walker, Delanie"
"134",1774,2015,"TE","NOS",NA,"Hill, Josh"
"135",903,2015,"QB","PHI",NA,"Bradford, Sam"
"136",689,2015,"QB","BAL",NA,"Flacco, Joe"
"137",1302,2015,"WR","STL",NA,"Quick, Brian"
"138",749,2015,"WR","WAS",NA,"Garcon, Pierre"
"139",1809,2015,"QB","MIN",NA,"Bridgewater, Teddy"
"140",1769,2015,"TE","NYG",NA,"Donnell, Larry"
"141",1916,2015,"WR","DEN",NA,"Latimer, Cody"
"142",664,2015,"RB","SEA",NA,"Jackson, Fred"
"143",1546,2015,"WR","DAL",NA,"Williams, Terrance"
"144",1305,2015,"WR","CIN",NA,"Jones, Marvin"
"145",877,2015,"RB","SDC",NA,"Woodhead, Danny"
